Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0603_1608Metric,123.5,-87,0,top
C2,0.1uF,C_0603_1608Metric,130,-80,-90,top
C3,0.1uF,C_0603_1608Metric,158.75,-80.75,90,top
C4,0.1uF,C_0603_1608Metric,132.782,-116.595,-90,top
C5,0.1uF,C_0603_1608Metric,135.782,-119.095,90,top
C6,0.1uF,C_0603_1608Metric,136.782,-108.095,0,top
C7,10uF,C_0603_1608Metric,129.782,-112.595,-90,top
C8,10uF,C_0603_1608Metric,171.635,-113.82,90,top
C9,0.1uF,C_0603_1608Metric,164.635,-118.32,180,top
C10,0.1uF,C_0603_1608Metric,165.635,-107.32,-90,top
C11,0.1uF,C_0603_1608Metric,168.635,-109.82,90,top
C12,10uF,C_0603_1608Metric,129.85,-131.305,-90,top
C13,0.1uF,C_0603_1608Metric,136.85,-126.805,0,top
C14,0.1uF,C_0603_1608Metric,135.85,-137.805,90,top
C15,0.1uF,C_0603_1608Metric,132.85,-135.305,-90,top
C16,10uF,C_0603_1608Metric,171.4855,-132.19,90,top
C17,0.1uF,C_0603_1608Metric,164.4855,-136.69,180,top
C18,0.1uF,C_0603_1608Metric,165.4855,-125.69,-90,top
C19,0.1uF,C_0603_1608Metric,168.4855,-128.19,90,top
C20,22uF,C_0805_2012Metric,127,-87,180,top
C21,10uF,C_0603_1608Metric,133.25,-96,0,top
D3,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,152,-94.5,180,top
D4,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,156,-94.5,180,top
J1,12402012E212A,AMPHENOL_12402012E212A,121.14,-93.5,-90,top
J2,I2C,PinHeader_1x04_P2.54mm_Vertical,176.5,-79.7,0,top
J5,Load Cell 1,TerminalBlock_Xinya_XY308-2.54-5P_1x05_P2.54mm_Horizontal,123.932,-112.79,-90,top
J6,Load Cell 2,TerminalBlock_Xinya_XY308-2.54-5P_1x05_P2.54mm_Horizontal,124,-131.5,-90,top
J7,Load Cell 3,TerminalBlock_Xinya_XY308-2.54-5P_1x05_P2.54mm_Horizontal,177.3355,-113.8075,90,top
J8,Load Cell 4,TerminalBlock_Xinya_XY308-2.54-5P_1x05_P2.54mm_Horizontal,177.3305,-131.945,90,top
L1,2.2uH,XFL3012222MEC,131.25,-101,-90,top
Q1,SS8550,SOT-23,131.782,-108.595,0,top
Q2,SS8550,SOT-23,169.635,-117.82,180,top
Q3,SS8550,SOT-23,131.85,-127.305,0,top
Q4,SS8550,SOT-23,169.4855,-136.19,180,top
R1,5.1k,R_0603_1608Metric,129.25,-91.25,-90,top
R2,5.1k,R_0603_1608Metric,129.25,-96,90,top
R3,10k,R_0603_1608Metric,130,-84.5,-90,top
R5,10k,R_0603_1608Metric,163.25,-87.75,0,top
R6,10k,R_0603_1608Metric,168.75,-87.75,180,top
R7,4.7k,R_0603_1608Metric,179.5,-83,-90,top
R8,4.7k,R_0603_1608Metric,179.5,-86.5,-90,top
R9,100,R_0603_1608Metric,148,-118.095,-90,top
R10,100,R_0603_1608Metric,148,-136.805,-90,top
R11,100,R_0603_1608Metric,153.5,-108.32,90,top
R12,100,R_0603_1608Metric,153.5,-126.69,90,top
R13,100,R_0603_1608Metric,129.782,-118.595,180,top
R14,100,R_0603_1608Metric,129.782,-121.595,0,top
R15,20k,R_0603_1608Metric,135.282,-112.595,180,top
R16,8.2k,R_0603_1608Metric,134.782,-115.095,-90,top
R17,47k,R_0603_1608Metric,145.782,-118.095,-90,top
R18,100,R_0603_1608Metric,129.85,-137.305,180,top
R19,100,R_0603_1608Metric,129.85,-140.305,0,top
R20,20k,R_0603_1608Metric,135.35,-131.305,180,top
R21,8.2k,R_0603_1608Metric,134.85,-133.805,-90,top
R22,47k,R_0603_1608Metric,145.85,-136.805,-90,top
R23,100,R_0603_1608Metric,171.635,-107.82,0,top
R24,100,R_0603_1608Metric,171.635,-104.82,180,top
R25,20k,R_0603_1608Metric,166.135,-113.82,0,top
R26,8.2k,R_0603_1608Metric,166.635,-111.32,90,top
R27,47k,R_0603_1608Metric,155.635,-108.32,90,top
R28,100,R_0603_1608Metric,171.4855,-126.19,0,top
R29,100,R_0603_1608Metric,171.4855,-123.19,180,top
R30,20k,R_0603_1608Metric,165.9855,-132.19,0,top
R31,8.2k,R_0603_1608Metric,166.4855,-129.69,90,top
R32,47k,R_0603_1608Metric,155.4855,-126.69,90,top
SW1,SW_Push,SW_PUSH_NO_434121025816,162.5,-82.5,-90,top
SW2,SW_Push,SW_PUSH_NO_434121025816,169.5,-82.5,-90,top
U1,ESP32-S3-MINI-1,ESP32-S3-MINI-1,139.4,-85,0,top
U2,AMS1117-3.3,SOT-223-3_TabPin2,124,-82,0,top
U3,HX711,SOP-16_3.9x9.9mm_P1.27mm,140.782,-115.095,0,top
U4,CH340C,SOIC-16_3.9x9.9mm_P1.27mm,154,-86,0,top
U5,HX711,SOP-16_3.9x9.9mm_P1.27mm,160.635,-111.32,180,top
U6,HX711,SOP-16_3.9x9.9mm_P1.27mm,140.85,-133.805,0,top
U7,HX711,SOP-16_3.9x9.9mm_P1.27mm,160.4855,-129.69,180,top
